종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
253450,스튜디오드래곤,KOSDAQ,우량기업부,45100,1000,2.27,45000,45700,44800,108603,4913381350,1355638259800,30058498
408900,스튜디오미르,KOSDAQ,벤처기업부,36500,450,1.25,36100,37900,35650,32063,1183125800,195660075000,5360550
204630,스튜디오산타클로스,KOSDAQ,투자주의환기종목(소속부없음),350,21,6.38,326,374,319,4436435,1546617367,43007015100,122877186
415380,스튜디오삼익,KOSDAQ,중견기업부,15590,-520,-3.23,16150,16190,15560,131366,2089620940,65875513820,4225498
026890,스틱인베스트먼트,KOSPI,,7050,0,0.0,7080,7180,7050,83889,594723540,293831133750,41678175
013810,스페코,KOSDAQ,중견기업부,3790,-30,-0.79,3810,3850,3750,136140,517412215,55544231300,14655470
203690,스피어파워,KOSDAQ,벤처기업부,9880,170,1.75,9710,9960,9560,111126,1088894320,122737481360,12422822
049830,승일,KOSDAQ,중견기업부,9020,-30,-0.33,9040,9140,8970,3247,29237430,55311650240,6132112
020710,시공테크,KOSDAQ,우량기업부,4265,-30,-0.7,4280,4305,4200,20338,86730265,85504592050,20047970
033170,시그네틱스,KOSDAQ,중견기업부,1794,-142,-7.33,1877,1891,1793,4054559,7363994925,153796604286,85728319
048870,시너지이노베이션,KOSDAQ,중견기업부,2970,-120,-3.88,3060,3085,2945,374913,1123574370,245643781680,82708344
025320,시노펙스,KOSDAQ,우량기업부,11220,2490,28.52,8700,11340,8690,24695663,263287471620,940437241920,83817936
134790,시디즈,KOSPI,,26850,-50,-0.19,26650,27000,26500,1275,34137000,53700000000,2000000
269620,시스웍,KOSDAQ,관리종목(소속부없음),889,0,0.0,0,0,0,0,0,132090012299,148582691
429270,시지트로닉스,KOSDAQ,기술성장기업부,10780,-120,-1.1,10650,10930,10610,19338,207988020,48577375000,4506250
418250,시큐레터,KOSDAQ,기술성장기업부,8290,80,0.97,8020,8380,8020,40524,333145120,66166983180,7981542
131090,시큐브,KOSDAQ,벤처기업부,926,-8,-0.86,941,950,926,99344,92840009,40744000000,44000000
232830,시큐센,KOSDAQ,벤처기업부,3410,5,0.15,3405,3455,3300,36319,122595015,39922479520,11707472
016590,신대양제지,KOSPI,,6290,100,1.62,6250,6300,6200,63477,396499010,253473287800,40297820
290520,신도기연,KOSDAQ,벤처기업부,3085,15,0.49,3040,3130,3040,11638,35859725,49142081770,15929362
029530,신도리코,KOSPI,,36750,-900,-2.39,37650,37750,36650,18074,666852250,370441065750,10080029
004970,신라교역,KOSPI,,8830,-40,-0.45,8850,8920,8740,25179,221517170,141280000000,16000000
001000,신라섬유,KOSDAQ,중견기업부,1422,23,1.64,1399,1422,1378,47979,66671101,34522661880,24277540
025870,신라에스지,KOSDAQ,중견기업부,7140,-50,-0.7,7200,7200,7040,15221,108549780,28560000000,4000000
215600,신라젠,KOSDAQ,중견기업부,5120,185,3.75,5120,5170,5020,1088256,5544128580,526679680000,102867125
065350,신성델타테크,KOSDAQ,우량기업부,103900,-1000,-0.95,107000,111600,102500,1494241,158806409200,2855582197200,27483948
416180,신성에스티,KOSDAQ,중견기업부,47700,8750,22.46,41000,49600,40600,1542816,72688528350,431197410600,9039778
011930,신성이엔지,KOSPI,,1940,-18,-0.92,1958,1960,1924,1382778,2686735354,399345412940,205848151
005390,신성통상,KOSPI,,1862,5,0.27,1857,1887,1851,138036,258328828,267585022180,143708390
004170,신세계,KOSPI,,165400,-3100,-1.84,168200,169400,165200,53119,8837716900,1628392937400,9845181
035510,신세계 I&C,KOSPI,,12260,-220,-1.76,12480,12480,12260,27954,343673930,210872000000,17200000
034300,신세계건설,KOSPI,,10670,-20,-0.19,10970,11100,10620,4653,50587420,82805111180,7760554
031430,신세계인터내셔날,KOSPI,,16180,150,0.94,15910,16250,15880,67381,1077943970,577626000000,35700000
031440,신세계푸드,KOSPI,,38350,-500,-1.29,38500,38950,38300,3837,147622300,148509608000,3872480
006880,신송홀딩스,KOSPI,,7430,440,6.29,7020,7450,7010,269818,1970166770,87888414940,11828858
162300,신스틸,KOSDAQ,중견기업부,3670,-45,-1.21,3715,3970,3670,856322,3263720015,152199971940,41471382
290560,신시웨이,KOSDAQ,벤처기업부,11360,0,0.0,11360,11700,11330,14999,172072630,41258111360,3631876
002800,신신제약,KOSDAQ,중견기업부,6590,130,2.01,6490,6680,6490,192332,1269473480,99973595000,15170500
472220,신영스팩10호,KOSDAQ,SPAC(소속부없음),2125,-10,-0.47,2130,2140,2125,12495,26641470,9966250000,4690000
419270,신영스팩7호,KOSDAQ,SPAC(소속부없음),4510,175,4.04,4270,4535,4270,172471,765464390,19415550000,4305000
430220,신영스팩8호,KOSDAQ,SPAC(소속부없음),2335,-5,-0.21,2340,2340,2280,20224,46640550,15784600000,6760000
445970,신영스팩9호,KOSDAQ,SPAC(소속부없음),2210,0,0.0,2210,2210,2195,9525,20997925,11845600000,5360000
005800,신영와코루,KOSPI,,9450,-30,-0.32,9490,9520,9170,7594,70629070,85050000000,9000000
001720,신영증권,KOSPI,,66500,0,0.0,66700,66700,66000,3270,217053300,627039140000,9429160
001725,신영증권우,KOSPI,,66800,900,1.37,67000,67000,66800,98,6547600,468324112000,7010840
009270,신원,KOSPI,,1301,-19,-1.44,1308,1330,1300,330094,430790907,133464849156,102586356
017000,신원종합개발,KOSDAQ,중견기업부,2930,0,0.0,2920,2960,2900,30598,89407530,34187319110,11668027
002700,신일전자,KOSPI,,1822,9,0.5,1813,1831,1805,176093,321187472,129448583262,71047521
012790,신일제약,KOSDAQ,우량기업부,7200,50,0.7,7200,7280,7160,22007,158864060,86302188000,11986415
138070,신진에스엠,KOSDAQ,중견기업부,2910,70,2.46,2900,2980,2855,226837,665021555,50934323640,17503204
226330,신테카바이오,KOSDAQ,기술성장기업부,9910,-270,-2.65,10110,10170,9750,280401,2779247900,151211487250,15258475
002870,신풍,KOSPI,,848,-3,-0.35,851,863,844,85358,72483661,29644977600,34958700
019170,신풍제약,KOSPI,,12000,-220,-1.8,12190,12220,11990,120207,1450166940,635819880000,52984990
019175,신풍제약우,KOSPI,,18190,-180,-0.98,18230,18370,18180,2706,49279370,40018000000,2200000
